year,month,format,sst_mean,sst_std,t2m_mean,delta_T_mean,delta_T_std,n_hours
2009,01,nc,300.5840148925781,0.16209523379802704,298.1390686035156,-2.4449429512023926,1.7066864967346191,744
2010,01,grib,300.1490173339844,0.2287106215953827,297.94769287109375,-2.20133113861084,1.557539463043213,744
2011,01,grib,299.1385803222656,0.20436066389083862,296.76983642578125,-2.3687729835510254,1.9681628942489624,744
2012,01,grib,299.21771240234375,0.28955429792404175,296.0837097167969,-3.133965015411377,1.8433465957641602,744
2013,01,grib,299.6788635253906,0.16011185944080353,296.842041015625,-2.8368444442749023,1.936245083808899,744
2014,01,grib,299.5293273925781,0.15869739651679993,296.7745666503906,-2.754727840423584,1.763900876045227,744
2015,01,grib,299.8501892089844,0.2105286866426468,296.7343444824219,-3.115816116333008,1.63797926902771,744
2016,01,grib,300.2572326660156,0.24376976490020752,297.4762268066406,-2.7809717655181885,1.867519497871399,744
2017,01,grib,299.81005859375,0.21532057225704193,297.18304443359375,-2.6269991397857666,1.9277969598770142,744
2018,01,grib,299.4319152832031,0.20241931080818176,297.2902526855469,-2.1416733264923096,1.8684725761413574,744
2019,01,grib,299.4564514160156,0.3236974775791168,296.73480224609375,-2.7216315269470215,1.840273380279541,744
2020,01,grib,299.9471740722656,0.24500110745429993,296.7574462890625,-3.189711809158325,1.8622560501098633,744
2021,01,grib,300.2844543457031,0.1661507785320282,297.8713684082031,-2.413087844848633,1.505858302116394,744
2022,01,grib,299.7396240234375,0.346456378698349,296.2752380371094,-3.4643850326538086,1.886936068534851,744
2023,01,grib,299.302001953125,0.3656768202781677,296.6126403808594,-2.6893765926361084,1.7653872966766357,744
2024,01,grib,300.6164245605469,0.32420116662979126,297.9396667480469,-2.6767587661743164,1.6635832786560059,744
2025,01,grib,300.1476745605469,0.14078593254089355,298.0345458984375,-2.113110065460205,1.5931086540222168,744
1940,07,nc,301.9972839355469,0.3378311097621918,299.48358154296875,-2.5137155055999756,0.6041218638420105,744
1941,07,nc,301.71502685546875,0.37883633375167847,299.6329650878906,-2.082066535949707,0.5648782849311829,744
1942,07,nc,300.89617919921875,0.42815902829170227,298.71722412109375,-2.1789846420288086,0.5858680009841919,744
1943,07,nc,301.0752868652344,0.37820741534233093,298.5796203613281,-2.4956657886505127,0.40266382694244385,744
1944,07,nc,301.54595947265625,0.31147074699401855,299.135009765625,-2.410989999771118,0.5101174116134644,744
1945,07,nc,300.9175720214844,0.3962160050868988,298.9306640625,-1.9869294166564941,0.5839130878448486,744
1946,07,nc,301.34478759765625,0.43523725867271423,299.2305603027344,-2.1142492294311523,0.590722382068634,744
1947,07,nc,302.11676025390625,0.34395840764045715,299.3896789550781,-2.727077007293701,0.5976210236549377,744
1948,07,nc,301.25213623046875,0.4156949520111084,299.2915954589844,-1.9605712890625,0.5225263237953186,744
1949,07,nc,301.8248596191406,0.19780658185482025,299.0684509277344,-2.7563705444335938,0.5910397171974182,744
1950,07,nc,301.0260925292969,0.29740050435066223,298.61724853515625,-2.4088001251220703,0.48291075229644775,744
1951,07,nc,301.33416748046875,0.35682013630867004,298.9840087890625,-2.3501908779144287,0.6430038809776306,744
1952,07,nc,301.23919677734375,0.3456399440765381,299.0531311035156,-2.186044454574585,0.5815312266349792,744
1953,07,nc,301.08123779296875,0.3447957932949066,298.81573486328125,-2.265512228012085,0.6717305183410645,744
1954,07,nc,300.8795471191406,0.3382040560245514,299.0094909667969,-1.87005615234375,0.596893846988678,744
1955,07,nc,301.5071716308594,0.42629310488700867,299.3677062988281,-2.1394641399383545,0.5904006958007812,744
1956,07,nc,300.6551208496094,0.34427183866500854,298.6416015625,-2.013521432876587,0.4712897539138794,744
1957,07,nc,301.3859558105469,0.3919842839241028,299.5687255859375,-1.8172318935394287,0.60162752866745,744
1958,07,nc,301.3076171875,0.40483641624450684,299.6533508300781,-1.654250979423523,0.551298975944519,744
1959,07,nc,301.2453308105469,0.36093711853027344,299.26275634765625,-1.9825897216796875,0.47060060501098633,744
1960,07,nc,301.7913818359375,0.3884383738040924,299.68743896484375,-2.103931188583374,0.732206404209137,744
1961,07,nc,301.3744812011719,0.2628795802593231,299.299560546875,-2.07490611076355,0.4634729027748108,744
1962,07,nc,301.7823791503906,0.4831068515777588,299.60308837890625,-2.179316520690918,0.6130825281143188,744
1963,07,nc,301.84527587890625,0.3413201868534088,299.7049865722656,-2.1402978897094727,0.660927951335907,744
1964,07,nc,301.7272033691406,0.3221718966960907,299.3967590332031,-2.330427646636963,0.7219556570053101,744
1965,07,nc,301.8631896972656,0.3796243369579315,299.3176574707031,-2.5455315113067627,0.6383762359619141,744
1966,07,nc,302.1015319824219,0.4470398426055908,299.8313293457031,-2.27022123336792,0.7725949883460999,744
1967,07,nc,301.52508544921875,0.41308075189590454,299.5397033691406,-1.9853719472885132,0.6392428278923035,744
1968,07,nc,301.8133239746094,0.43725329637527466,299.6424255371094,-2.1709065437316895,0.7140303254127502,744
1969,07,nc,301.6524353027344,0.5215818881988525,299.63311767578125,-2.0193090438842773,0.5329236388206482,744
1970,07,nc,301.38763427734375,0.5198508501052856,299.60723876953125,-1.7803895473480225,0.747567892074585,744
1971,07,nc,301.37445068359375,0.32088905572891235,299.3812255859375,-1.9932433366775513,0.6596810221672058,744
1972,07,nc,301.48046875,0.6234488487243652,299.7735595703125,-1.7068830728530884,0.7826585173606873,744
1973,07,nc,300.894287109375,0.32322338223457336,299.2371826171875,-1.6571018695831299,0.6433001756668091,744
1974,07,nc,301.2596740722656,0.2921062707901001,299.6715393066406,-1.5881112813949585,0.6348122358322144,744
1975,07,nc,301.4173278808594,0.23650284111499786,299.4299011230469,-1.9874850511550903,0.6069512963294983,744
1976,07,nc,301.80535888671875,0.46765729784965515,299.8819274902344,-1.9234369993209839,0.6426579356193542,744
1977,07,nc,301.8603515625,0.25717025995254517,299.5357666015625,-2.324601411819458,0.5739023089408875,744
1978,07,nc,300.838623046875,0.15987128019332886,299.35882568359375,-1.4798052310943604,0.5705088376998901,744
1979,07,nc,301.288818359375,0.37471380829811096,299.846435546875,-1.442393183708191,0.5809897184371948,744
1980,07,nc,301.3195495605469,0.28697633743286133,299.6202697753906,-1.699292540550232,0.6091659069061279,744
1981,07,nc,301.3832702636719,0.47535809874534607,299.4934387207031,-1.8898115158081055,0.5464528799057007,744
1982,07,nc,302.0116271972656,0.28686702251434326,299.8868713378906,-2.124760389328003,0.6947572231292725,744
